INVOICE_NO,ITEM_ID
CX48010573,1239
1616070867/88761414,"14804260,14844938"
316076675,"1007631,88446"
316076300,3006101
316073173,142474
O516070292,232213
316079415,3404415
6821600270,15121115
306070829,"15140123,15140127,15145264"
216074690,"14813454,14879890,3299387,3322259"
216070584,"11371588,123979,15002622,2089807,3223668,3224466,6118594"
306071162,66015
W016071181,2057816
W016076204,3249373
B516070005/01838449,107056
316076054,14703614
316075574,"14124603,3402258"
CX47347128,14813491
216075926,14889898
316072531,15586969
1616071555/普00871208,14830136
6I01600584,15503959
CX48011818,"15513959,3389598"
306071374,"14432765,14644724,15090351,2692019,3217353,3223016"
216070507,3317785
A716070015/17830844,88870
A716070126/17661964,"15314003,3184268,88444"
A716070288/00014986-00014987,"14417736,15163997"
5416070191,15280990
216074169,12460598
306071490,14378800
306070980,3298017
CX47346710,"12560591,14670768,14710412,14711825,3245575,4265653"
CX47346245,"148716,149674"
216076438,"14297728,14988185,15408984,15409959,15423085,15425960,15425961,3306080,3341811"
216077841,"14703949,14837994"
D616070041,"2205447,2205849,2205853,2208000,2208002,2208057"
216074633,"14504726,3372437,5705592"
316072495,143573
316073794,"3246553,3306621"
316075187,3311964
316070294,15285974
316074759,2208219
316075057,14827951
2316070899,3423952
6881600340,15187016
1616071073/普00871196,14819946
216071945,14547727
216077207,15243962
W016078042,2205562
A716070623,14690944
316072907,"1754,70448"
W016073794,3869218
2316070086,1724
6871600675,"14790248,15280990,15286972,15336004"
1616070165,15471068
1616070144,"15471068,15547003"
W016078439,14365734
W016075546,3241823
1616070637/88761269,"15225016,15225018"
CX47347742,14878860
W016073950,3190569
CX47346816,105072
W016070918,2205594
CX48010437,"15455989,15455990,3304192,9926587"
W016076913,"14771957,2248059,3391689,7264592,885650"
316075966,"14675324,4262602"
3831600345,130089
316072280,13997590
316074639,"14752201,14760944"
216072570,3429760
316072601,"14649786,14818375,14836049,7730587"
316078599,14755907
CX47346513,6178587
W016077637,14846475
W016076241,11575589
316072364,3204325
CX47347482,14813572
216071581,124165
W016076040,70415
CX47345537,14361751
A716070079/10930118,"10731985,3222212"
O516070140,14790782
O516070332,233275
216076124,15078930
W016074376,139078
CX47345317,14564964
316078851,"14197631,14728033,14792010,14792011,14813263,3308057,4269610,5262589,7116588,7732587,7852587,8990589"
216073517,3219391
W016070023,"2209054,2810084,3333849"
216076707,1425783
A716070271/17830857,4877587
W016075389,161057
316071237,14273746
W016074014,"14798875,14798989,14846280,14882963,15251975,3415411,3418456,3418461"
W016072826,"1008629,10619587,1343776,14732006,14765888,15258994,2555016,7037599"
6871600732,15423965
6891600921,15280990
316078842,135429
W016075085,3395365
316078725,14790268
W016078983,14768938
2316071378,"166045,3308239"
2316071513,3291047
316075598,15189017
3831600344,10730742
CX47346178,88444
316078774,1707
W016073705,1013629
CX47347488,3246887
306070441,3395131
216070561,"14800919,14804028,15331178"
216078034,15078930
CX47347949,3396487
316076206,3311162
W016072204,3324495
W016070981,14765888
306071747,9853589
316075873,"3307930,49046,70043,70352"
216073403,3321163
1616070874/88761546,"14925917,14952234,14968998,14971927,14994904,15011906,15015900,15078922,15140228,15371962,15501959"
1616070330/79213897,"14788977,14843870"
316075963,"14703651,172052"
316077776,14670774
216072923,"3250360,3340527,3365271,70447,87945"
W016072357,"1342780,15072164"
216077423,14767916
W016075207,1699
W016071284,"125765,126340,126597,228559"
CX47347187,205145
W016076008,"2208219,2208221"
616070905,3379338
W016074431,3383895
306070686,3221823
1616070548/88761169,"14310766,14816941,15083976,15104957,15151088,15192099,15242560,15363007,6642591"
W016075632,"10329587,126591,126991,134710,135566,135641,14274726,14378739,14655736,14771957,15390997,160048,225584,2937075,3306651,3328493,3372519,3866128,6667587,70064,87991"
316077922,"14695872,1585789"
216071179,123216
306072058,13320591
CX47347375,15237966
216076166,3369177
CX47346505,5787587
316073495,3311946
6811600256,"15401981,15401982,15496959,15569978,15648032"
216073914,3223354
316076611,3709590
O516070812,133677
W016071631,"1696,70448,70509,88411"
6811600211,"15064867,15419008"
216070802,14756873
W016075865,"128476,129225,1299765,2792107,639445"
W016077548,3201295
W016071851,135888
316073748,3216922
CX47346671,131438
2316071379,15141104
W016076453,1295820
6891600973,14845991
216070046,"126318,126597,592,598,70415"
6891601076,15278199
216074890,"149674,149991,3246708,5020591"
216075026,4456590
216076742,3337629
A716070521,"2702037,3341914,3423670"
W016073066,3806851
216072035,4387643
616070179,"3341242,3434216,8803605"
2316070125,8983597
CX47345600,"14270861,14983015,3249325,3368984"
6871600796,15461985
216077842,"1290732,131392,14465724,1698,1754,2616015,3231098,70448,70589,88444"
306071492,"14378800,14793002"
306071216,15189017
316079963,135102
5416070048,15367960
316079670,126993
316076308,14771915
W016078071,"15614981,15639990"
W016072170,8658587
W016073395,126793
W016076810,23004
A716070060/10930411,3322137
216074512,14208682
316077335,14921897
306071779,"14696183,14703614,14714845,14731156,14800879,14817904,14969975,14980121,14993099,14993215,15006130,15016961,15031866,15087999,15102076,15133995,15216046,15220994,15225147,15253055,15304960,15351222,15450027,3182580,3306249,3323671,3382808,3395793,3997595,5851595,798607,8954594"
W016070867,146618
216072451,15166018
216076884,3186295
306071230,125477
1616071053/88761536,"14526773,15104957,15242187,3397439"
W016075934,3418652
306070171,"3197428,3391621"
216072158,"10756589,3393045"
216075931,130462
A716070033/00014873,"126993,14865946,3216651,3383277,70072,70415"
216074893,134716
W016070957,3328844
W016075650,88411
CX47347170,13852589
W016075673,1747
W016076292,133870
2316071655,14543750
3811600127,14939979
W016078721,1205730
CX47347802,"1167729,1295788,14345806,1504809,3183193,8187591"
316078838,"133002,1619789"
W016074672,10926588
316072146,"172,3243723,3333358,3340915"
306071437,14915872
W016072876,"140244,150911,3424362"
316073064,"15231043,70874"
616071027,2702049
316071622,14932035
316077226,70068
2316070783,"134580,70017"
6871600785,15423965
216070856,"10742590,12581589,14160593,14934539,14967408,15083684,3369837"
316078054,14952054
216072520,"14694789,14894490,14940229,15080214"
1616070124,15539983
316071203,"138185,1509792"
316077291,14834153
216073374,14670774
A716070408/17830663,14720935
W016071377,15138984
306072010,"2057813,3248601"
O516070535,14689107
W016072896,3369573
6871600811,15461984
O516070149,126597
316078282,6499635
216072737,3339447
1616070298/88761632,14992909
W016071980,"3312732,3312733"
W016077068,705475
W016070356,"3191242,3238631,3247211,87070"
W016077042,150611
316075301,15160005
216077703,70975
306071856,"14639726,14713096,14792880,14793865,14845945,3196276,3217532,7763587"
1616070372/79213924,"15118971,15205995,15217056"
316070911,"152270,2384015"
W016077885,15194064
W016070045,134587
A716070522,"1746,2859072,70511"
A716070140,"14896069,15035967"
W016073089,215532
316077251,"1313782,1383784,564386"
316075594,"13893590,3216651"
B516070511/14899765,"14790830,14790831,14793849"
316078622,9853589
216071978,15243022
6E01600526,15549964
316077417,15509973
216077909,"14564167,14564195,14728213,14766011,3188673,3322836,3325324,3366344,3403229,3423229,4754587,4755587"
316077272,3240906
316079286,148670
O516070635,8152588
316076563,2559023
2316071791,3336527
216075279,"14566794,14566795,14566797,14566798,14973107,15035977,5623587"
216077188,"14564812,14564820,14565080,14565169,14565281,14565283,14565528,14565833,14565876,14566227,14566252,15336235"
W016073397,3249444
316070358,2756071
W016073846,134900
316074102,10884587
216077017,15180962
1616071349/88761711,"15174974,15415026,15582968"
216071644,140628
316075854,15131969
W016077456,"12653587,135437,135528,135739,136025,1746,70511,87120,88359,88475"
W016071783,2208085
W016070718,2336013
W016074911,1697
216077819,15553960
CX47348020,"14565022,14566017"
3416070052,15430983
2316071546,3179471
W016074010,14935988
306071132,5425587
W016077972,3206215
1616071006,"15436255,15570048"
216075949,3216409
6I01600666,"14790248,14919044,15041895,15105973,15549964,15648014"
316077252,195114
316073869,13217588
W016071836,1013629
2316071520,135789
306070876,15017926
W016075586,"138258,143805,148885"
W016078635,2205697
2316070336,15151076
316079457,"14579782,14841124,14841127,14841128,14870535,14870536,14876857"
316077194,"14711869,3322192,3424680"
216071185,126565
216072610,10028588
316076086,"135788,135934,88442"
316071660,12288588
316072383,3385422
2316071096,88477
6891601077,15461985
6831600718,"14766878,14790248,14988891,15189014,15280990,15283965,15288972,15336004,15336088,15355960,15472045"
CX47348146,14565332
216076105,"10350589,10727969,11846601,12489587,125992,1307777,133271,133281,133283,134720,134724,134884,134906,135107,135519,136413,136430,13714594,14208633,14476724,14548739,14558767,14703792,14703879,14703937,14704079,14704181,14704182,14704278,14704320,14704368,14704420,14715286,14796934,14797251,14808870,14852873,14971872,149830,14993047,14995864,15006919,150118,150236,15121068,15122024,15139024,152201,15307080,15545959,1698,1754,1831789,2229796,2696039,3059069,3152104,3159070,3191271,3200238,3207302,3216409,3216651,3220361,3220413,3223014,3223016,3240656,3249308,3297701,3306621,3310822,3311204,3311683,3317857,3326533,3327136,3328649,3332291,3334251,3342400,3467587,3722245,5063602,5722596,6891588,70297,70447,70448,70509,70511,7171590,740494,87141,87945,88274,88356,88385,88870,9634587"
316072870,"11702587,14721017,14752221,14752229,14752235,14767981"
W016071674,2205572
1616071565,15102173
316079401,"1304792,133024,133247,133283,133405"
316074619,"14752201,14760944"
216075127,15296048
316073745,3310515
306070979,8713587
1616071500/88761818,"14534724,15159038"
W016070155,3338607
CX47348103,8128588
CX47345378,126597
216074237,"143456,70509"
CX47346048,15231095
216071628,4230606
W016070810,3328644
W016075568,"141629,148717"
316075823,3442560
216077644,15253036
W016073858,70450
1616071068/普00871198,"14790349,14803931,15051992,15133982,15133984,15155026,15203964,15227053,15247091"
W016078909,"3316173,3317529"
216077963,"12281598,12281604,133402,135923,14563727,14675349,14720913,14816056,14932995,14992992,15050042,15051018,15051021,15057009,15219974,15221022,15221025,15222028,15256974,1730,3240820,3307182,3365271,3366750,3545591,3997598,4467589,585387,70126,70447,87945,88445"
316075729,3177564
W016073309,160045
W016070710,4271590
W016075402,15296076
CX47347740,14565916
316077243,"15255128,15361971"
W016073391,"2205284,2241963"
216077062,"10799588,11444587,138633,140729,142996,146721,14683790,14866876,149778,149834,149844,3306578,3418652,3434889,3434890,3771387,3843125,6837600,70325,7816587"
W016078879,145258
W016072774,3216922
W016075633,3249506
216075812,"14564394,2781083"
316071315,"15037947,15070926"
216077073,"10031587,11425587,3247932"
216076833,"12276591,14682781,14694793,14934282,3338964,585387,7966590"
1916070154,"15220021,15334079,15493998"
216075629,"129092,3328643"
216076365,"3343747,3388132,4709595,705482"
W016078707,3325080
306070970,14816087
O516070610,129223
W016073161,3328645
316076750,"123085,123086,125984,126078,129202,129269,1713,3180519,3238629,3322162,3398812,666430"
1616071335,15351065
316073510,14436753
316073707,"14695751,151041,3372363"
216072996,14536727
E216070021,3206257
306070590,14689725
216077222,14712849
6F01600244,15323074
316076836,15367967
W016078097,"14860983,15230193"
316077812,"143639,14647764,3190782"
P516070054,"15051992,15288975"
CX47347495,"138202,143132,148734,149681,149987"
216071614,3220316
CX47347853,"2901183,3308787,3403234,412348"
216074546,14813574
306071012,"12358589,2018785,3368919,3385554,87820"
316077326,"12459587,14816084,15004982"
316075409,14863078
O516070116,126564
1616070346,15570048
216073439,15293041
6B01600336,15419008
6871600755,15406993
CX48012013,15121050
316072470,143069
216078100,4169607
216074826,3242712
W016076042,126109
316073939,135520
616070864,14801100
W016073605,3328618
316071742,15255128
306070537,3329232
B516070181/01838957,"15519979,87689"
W016070852,8311598
216074101,15137209
316074922,"129895,2901183"
216073295,3234828
316075960,14797592
1616071259/88761654/5,"14925917,14935881,14992876,15051865,15077943,15162957,15331110,15523013,15552970,15644985"
1616070110/79213717,"15047904,15104957,15116000,15151088,15181053,15182032,15185960,15185962,15240983"
1616070375/79213927,"15037958,15253082,15334065"
O516070847,129397
W016078494,2208028
306070272,3417336
306071009,130736
2316071303,"15016951,70017"
2316071828,3104070
2316072131,15002538
CX47348299,229545
216074181,"14208661,14208671,14208676,14208699,14215606,14550844,14691199,14714797,14772880,14785886,14827599,14828229,14887892,14924021,14925266,14994078,15002763,15002778,15016129,15016149,15030899,15192280,2110799,3322763,3365652,3387711,3772606,71502"
1616070430/79213969,"15201033,15455981,15455982"
1616070709/普00871190,14790349
316075265,14796943
W016072364,70589
316077045,4643589
1616071200/88761605,"15151177,15242090,15331110"
2316070903,"134772,135529,1699,3249506,77029,88447"
316071775,3189373
W016074386,8929652
O516070150,1699
CX47346345,15573976
216073220,15083409
316076311,14932032
316075981,15071180
CX47345403,14790782
W016078678,"3197393,3205555,3265976"
CX47348702,15050889
W016075096,3434870
A716070640/17830875,14812014
A716070580,3395244
O516070311,3222304
306071959,2996075
1616071750/88764245,"14816110,15064921,15145171,15364983"
W016077763,14761982
316078641,"14671742,149337,174129,3216309,3310515,3318371,3330452,3412221,3416675,3417486,4387629,88017,9590592"
316078116,15009867
316075751,"150732,150848"
1616071347/88761709,14804260
316077869,15292969
216077877,3313511
A716070596,15285006
W016075261,3368734
A716070294/17830634,14199607
CX47346768,88411
216070298,14564915
1616071077/88761543,"13211594,14310766,14806983,14813741,15037958,15104957,15243031,15272968"
1616071088/普00871203,"14785887,14787606,14803927,15133982,15133984,15155026,15203964"
216075447,14934894
216078043,"14781904,14934858,2797101,3114083,3217001,3224747,3250322,3308830,3308870,3310114,3358317,3365271,3391422,3459628,70589,7124590,7800588"
316079681,"133926,134112,14894496"
216071219,116062
W016074973,14717883
CX47347534,14547728
CX47346795,"3189210,3336855,3415297"
CX47346324,12588605
6E01600522,15461984
216074560,3372437
CX47348776,9046593
1616071741/88764239,15455982
316074603,3247389
W016070310,"219620,228553,3247211"
W016074618,5591681
316074769,14191611
W016073819,15238140
316077867,70981
W016070573,3223100
O516070602,70072
216075776,"14673920,15629989"
316074965,26001
216073807,3249731
6B01600347,"15307088,15355971,15461985"
216075719,15586015
W016074040,117683
W016072718,132888
W016068557,70589
1616071399/88761764,"14310766,15046030,15047904,15192099,15240983,15242496,15242560,15516005,15540004"
316072269,"2926076,3383971,70120"
316076731,"14710900,14835937,15532015"
216074952,"11425587,3395225"
W016072928,"135056,3424487,5262595"
316073285,"14592723,14861184,14909040,15221037"
W016074942,136025
316079894,14723919
2316070787,1295793
216074353,"140813,141873,143132,14748032,149778,3420615"
216073252,"14976946,15006898,4547588"
316078398,2314011
316074806,"137485,138455,15113095,3345336"
5416070179,15331042
216075887,3412227
W016070524,133675
W016071788,133456
216074766,3250360
W016070204,2208091
616070369,"15102226,15311036,2205831,3430015,8364587"
CX48011773,"11656590,14844963"
CX47345441,"135041,135342,170,1746,1756,70333,70349,98013"
D616070468,"10872587,3459597"
316075849,10915588
316073602,"14752201,14760944"
CX47348143,149272
1616070216,15471068
6E01600533,"15071921,15105973"
K516070056,"15189014,15286972"
316075959,14694818
W016074038,14451748
A716070293/17830635,14199607
W016073097,2205414
CX47348420,3386944
216071892,3223283
CX47347493,2786069
216071857,3313535
316070903,15006036
2316071433,15140151
E216070063,"1090,1237,1411,14818056,15062963,1514787,15351096,174122,3019068,3224455,3246403,3246763,3253308,3317021,3374580,3389992,3399221,4053602,8248587"
W016071611,15242156
6841600857,"14241597,14270731"
6871600828,"14782215,14790248"
1616070817/普00871194,14790349
316076861,3344116
D616070553,"14511817,15037983,3365539"
W016078881,146790
3416070487,"15051992,15288975,15288976"
W016075657,129216
CX47345622,1708
316072241,3344116
1616071039/88761522,"14270748,14310766,15078912,15185963,15330987,6642591"
2316070135,3331162
306070306,"14490755,14581779,14581801,14608821,14694864,14863947,14865890,14979948,14983915,14983918,15017881,15022117,15022125,15022128,15022131,15024910,15077895,15140127,15205088,15205089,15242130,15242155,15242156,15242157,15253062,15275987,15276006,15336192,15370002,15436007,15436040,3242528,6775587,6775591,7068605,7122589,8303611,9874614"
316070147,2754076
306071700,"14564983,23004,2915113,2918086,4709595,8291587,88870"
316077466,3180625
W016074448,2208233
316072046,3184403
616070919,3216409
W016071107,2999070
1616071621,"14671860,14675955,14980086,15192100,15194056"
P516070052,15288975
616071054,"1221,1237,205197,3321112,3328366"
316075957,"1220732,14898202"
316077676,"14550844,3330986"
CX48010671,3322859
CX47348452,9611587
216076090,138043
1616071519/88761832,"15141113,15404030"
1616071133,15348971
216071116,3114083
316076368,15029889
W016074432,"117293,14856018"
216074048,13434589
216072754,2670019
W016075800,146820
216076121,"10350587,1047629,1103734,11162590,11686587,12129587,12323587,12560591,125741,126078,126564,126567,126591,126722,127343,130926,131254,131266,131417,132983,133277,135825,135831,135969,136281,137928,137984,138512,142960,142993,14336740,14336741,143452,14564167,14564168,14564302,14564834,14565274,14565457,14566519,14566731,14665754,14677900,14695872,14765972,14768858,14774076,14782015,14787483,14813405,14851864,14861978,148744,14889898,14917889,14924177,14932046,14939016,14940173,149728,14973107,149949,150001,15015956,15022930,15089959,151074,15184015,15200119,15323975,15391964,15452070,213579,2211801,2248986,230571,231320,2361,273,2797101,2872079,3114083,3118092,3123078,3154455,3179507,3184316,3188268,3196180,3201502,3222306,3245983,3247389,3306191,3309936,3313535,3326167,3328685,3336149,3339447,3340154,3340660,3342066,3344021,3344042,3345187,3383846,3394678,3417470,3424482,3424800,3429094,3429164,3782865,4709595,5094609,5609587,5851590,6499722,70057,70072,70148,70295,70298,70324,70415,70448,70449,70509,80,8329593,8581592,87118,87461,87945,88064,8934603,91,9337587,9337592,9684587"
2316071355,3750073
CX48010429,"1705785,3224711"
316074026,14765944
616070317,"1010,195101,195104,3400206,68010,721"
W016077667,"139065,149708,88176"
316079766,2362014
316078917,3311162
316074467,14784045
316075801,10513588
CX47346456,15345109
2316070597,"1175731,132990,15000900,2425040,3325076"
CX47348117,70122
6871600698,"15064868,15280990"
W016070657,3807056
W016074607,117687
216075957,70415
A716070103/17830621,"14597733,15060008,15060014,15240974,3339411"
W016077275,149966
316076965,2307014
216070509,3368987
216073884,141316
2316070818,15096959
316076672,"10731999,11428587,11474591,12719593,14563857,14564203,14671729,14703733,1479796,15005972,15167976,15178986,15301041,2018785,2123806,23,3204507,3338053,4001,44,70448,72462,87784,87794,87795"
216078110,"11103589,14810281"
216071170,10619587
CX47347273,14270842
316073273,"145573,3842682"
W016078862,"143110,149830,150049"
3416070351,"15288975,15288976"
CX47347229,15168020
306071321,14701325
216071045,134151
CX47347998,"141041,70349"
6G01600127,"14811865,15461984,15461985"
P516070089,15288975
W016076770,3151122
616070058,3180666
316078661,15554959
W016072085,3323905
216074023,3328654
216075178,"133405,14758859,14859915"
A716070568/00014877,"126993,3221993"
316074602,"12560591,14741932,14834920,15028918"
306072018,"14982964,15006036,15059899"
216074569,14988114
2316070902,3399559
W016076028,1303759
CX47345509,88563
6871600740,15336088
CX48011894,14797974
1616071074/普00871197,14819946
W016077512,"3298154,3396202"
A716070649/00014855-00014856,"14313756,15163082,15163997"
316070234,14767916
316076629,183066
2316071717,"133355,70017"
216078050,"14281745,14297734,14678826,14766861,14786993,14863012,14863023,14863042,14863045,14863053,14863058,14943870,2195798,3152151,3196320,3196360,3197270,3241842,3241844,3241979,3307938,3325320,3335676,3342403,3345342,3395228,3395231,4642621,4642624,8944592"
6861600346,15461984
316071850,"14592723,14861183,14861184,14909040"
D616070405,3961604
316079204,14813146
CX47347531,3085213
1616071267/88761663,15455982
W016078304,14926862
CX47345840,"126567,126995"
W016078992,14562745
1616070000/79213916,14690914
W016073554,2204812
316073916,15242249
O516070445,142995
216073304,140985
1616070226,"14481833,14671860,14675955,14980086,15157064,15192100,15194056"
W016077784,9544596
6E01600548,14962884
316074672,"1307777,135428,3288184,70448,857611"
B516070537/14899934,12097587
316073316,88061
216074117,15122023
216073183,2771081
216077818,128518
306070359,5022588
216073957,3333283
2316070256,"3340195,3412226"
316078235,14274722
W016076280,3394618
316073936,"14565709,15591963"
W016075473,130138
W016070226,3722546
W016072898,2207272
216071359,4709595
2316071834,71121
2316071585,3338511
2316070169,3326043
6A01600581,15461984
306070631,"3408688,3414252"
CX47347201,3243665
316078542,174180
CX47348261,15238191
216076303,14906037
316074120,14573725
216074966,15238111
216076221,"11331587,122994,70062"
B516070418/14899372,145236
216077545,3220345
306070122,3391621
CX47345625,"14565274,70057,70415"
216077616,1484798
6A01600522,"14810154,15461985"
216077239,14792856
W016070077,133393
W016076909,3420595
316075406,3304952
216076916,3336149
216076520,"121811,122221,122793,122796,122806,122856,122858,122862,122983,122992,123044,123046,123048,123050,123054,123105,123107,123110,135987,136122,136125,136169,136172,136211,14325739,14713053,14717879,1698,3086086,3182773,3196180,3197171,3197172,3223713,3223718,3236502,3242280,3242406,3243302,3243402,3243484,3244333,3244334,3244336,3244337,3244339,3244350,3244351,3244353,3244358,3244363,3244366,3244367,3244368,3245349,3245350,3245354,3245355,3245372,3245374,3245375,3245378,3245379,3249164,3249165,3249167,3250498,3304831,3306773,3309911,3325253,3327835,3335175,3342013,3344978,3365330,3397665,3400607,3420594,6564590,70274,70509"
6A01600482,15288975
1616070591/88761228,14797542
216076987,"14793029,15444253"
W016075419,953637
216075688,15254091
316071841,15226978
CX47346347,"5139587,6358587"
W016078429,14550852
316078749,8929650
616070509,"14813450,3301600"
O516070283,3310182
216074124,3250475
CX47347529,12588609
316078379,"15201024,3335078"
316075091,3344667
216074196,"143456,70509"
316074647,"15303970,3338374,6117587,8320587"
316076749,"129257,2090815"
W016071454,3394080
216071369,3222378
W016078883,2917102
W016070317,142993
W016071059,3424359
D616070295,"2205447,2205592,2205859,2207948,2208029,2240916,3191402,3415438,3418300,3435214"
CX48011878,14786922
316072877,"2219795,2282016"
306071909,14755907
316078329,3442587
616070569,4120589
O516070344,126171
316079871,"14197639,3179411,3237514"
316079972,7105601
216070209,134628
216075242,125741
1616070768/普00871192,14819946
CX48010383,3306083
1616070670/普00871189,14819946
B516070245/01839140,"3200238,3298662"
W016078368,13093588
W016070092,2207397
W016077996,133563
216075685,"14940084,14973081"
1616070693/普00871190,14819946
W016072407,14925946
W016070586,14785889
CX47345801,15264006
316071810,"14731057,14731983"
W016075352,3222306
216075714,8752587
W016073148,14592723
316076496,"14752201,14760944"
316077631,3317469
316071386,87820
216075424,61
W016076962,134252
2316070258,"126570,129417,1295798,130212,130439,130579,3188387,3248658,70415,87991"
W016071694,14909080
316077026,15255128
316074157,"3159073,3182537"
316078152,6064587
316077768,"133408,3249731"
W016073465,3396202
316073595,15189099
K516070010,15189014
3416070412,14813491
CX47345340,"3423493,88385"
3416070297,15141084
W016078414,2090822
316072197,14861183
316073871,13834590
316070550,134112
616070225,"10624587,1237,3224456,3317021,3328981"
1916070116,"13161590,14731057,14909891,6517622"
216077978,"3188268,3223283,3245338,3298469,4387643,6851595"
W016071110,3298637
316071740,133002
316074527,6837600
316072917,15230124
W016074583,2205903
6861600377,15286972
216071899,130643
216071306,1343776
W016077040,"2205721,2205961"
316070631,3243510
316075176,3420402
316072267,599389
316078768,209176
316079860,3310733
W016073113,"23004,3196418"
O516070433,141542
O516070368,230962
W016077993,3154455
316077557,14988996
316078859,15018007
2316071095,"141679,142725,3310520,3434864,3722732,3771917,3807089"
216074383,"14695872,14976919,3205287,3335498,3365380,3372437"
316070381,"134112,3333086,5022588,8636588"
O516070640,129397
216071355,"14703941,14704453,3322483"
316073142,10513588
616070799,14873973
6821600347,15399986
216071700,3249313
216074551,14930127
306071667,14890023
W016078948,3397665
W016077837,147030
306072038,14683790
306071735,3318770
316079726,135789
W016076578,107038
W016074442,3217423
216073555,"161064,26001,2926068,3188622,3216193,88411,88563,88675"
216076542,"126591,126594,14797538,14932993,3105068"
316078580,"14752201,14760944"
1616070495,"15471068,15547003,15570048"
316074173,"3383008,3572587"
A716070046/DC1607005,"124102,126256,14972304"
216075266,15136956
316075122,14765887
2316071160,"3190437,3309973,3750033"
6841601176,15288975
K516070241,15288976
D616070663,14511983
W016076103,117101
B516070125,"14789161,14789843"
W016074438,3184418
W016076604,129836
CX48010375,"14960969,14972002,3333258"
CX48010392,656
316072557,"1167730,2952075"
2316071417,1295826
2316071999,15046965
2316070997,3152151
6891600937,15283965
K516070089,15362986
316070556,"122743,126415,1333777,14712805,3249812"
316072038,6837600
216074456,3430323
A716070168/10930307,14700680
CX47345667,14793029
216076767,88411
2316070185,"13997589,2208832"
W016075544,"2116800,3423571,3722546"
1616071329,15351065
316072574,3387711
316071824,15220033
CX47347474,3197228
W016075068,3206599
2316071662,3241944
316076723,"135641,15016233,2481016,2555016,3223040,757485"
216077570,"14762160,14951867"
316076774,"3325678,5913591"
216075235,70324
2316070741,"2795091,3188588,3368726,760484"
316073352,14436753
216073446,3215576
316070806,14797592
W016077017,70450
W016075721,118330
316070690,"3242362,3366750"
W016070233,"3238634,3365034"
316075587,14856862
316078624,3372358
216074069,3219396
306070937,135519
316073280,"10758587,14462723"
316078584,"14500741,14500745,2205669"
316074360,"133929,70276,70509,8345589"
216071261,15180962
W016076347,14840979
O516070252,3245431
CX47345827,14564812
CX47348318,7409594
A716070530,3400287
316079757,3417453
216077584,143456
316077153,1756
216077285,232022
316077211,"14918956,149966"
W016078954,"1747,77029"
306071930,14401737
W016073412,"2205758,2208230,3216421,3242157"
O516070173,142377
316077112,"129895,14208722,14761902,15345071"
616070860,15123071
W016072992,15546965
316075899,7507591
1616071521/88761834,"14816941,14972157,15046030,15181053,15240983,15242560,15263960,15330987,15334065,15526998"
316073052,14773863
316076969,"195103,3333020,627419"
W016075237,"107043,112063,126638,134546,3307839,3332885,3771298"
316079544,14773863
216075867,126693
216071987,"13418597,137480,137494,13753590,138323,14036589,140557,145243,14695843,14787484,14837903,14837904,148490,148665,149722,149734,149890,150222,150830,2227820,3174161,3221849,3306820,3313535,3317857,3345336,3372210,3420615,4968587,6493606,70044,7042592,705446,88164,88222,88279"
6881600365,"15240001,15346962"
316071859,14988996
316075575,"14979867,152314,1746,23004,70449,70511"
316078455,151079
1616070745/普00871191,15228081
CX47346262,3783591
1616070731/普00871191,14790349
216070082,14992950
1616070653/普00871189,14980184
6B01600375,"14735852,14845991"
CX48011960,"14938994,8883587"
1616071379/88761738,14921004
1616070914/88761453,14925997
CX47346070,14564133
W016076175,2208174
W016070223,2623017
316072822,87828
W016079060,"14543750,14924156,14925023,14925264,3188365,3222143,3223348,3322014,3386907,5444589,71642"
6891600879,14735852
1916070203,"15202998,15403970"
K516070279,15220021
316074399,"140774,149727,87141"
316074592,"122778,1756"
316078848,"3248752,3311643,3319357,3393108,3429579,5453588"
CX47346057,"3434848,3843116"
216075735,15456067
CX47347766,15230124
316073373,3086107
1616071702,"15348971,15436270,15589013,15589017"
W016078841,"14914858,4709590"
CX47347159,"146878,14810955,15609967,9180590"
CX47345670,149987
CX48010292,15464972
W016074954,14933001
O516070121,130089
2316071028,"10711588,134762,14890071,1681790,1696,1707,23004,2346014,2831078,3423606,3807218"
6891600856,15280990
316073989,"14988996,3401435"
W016070536,3402125
W016070985,3328828
216071264,3145111
316079761,14883096
216076729,1708
1616071619,"14671860,14675955,14980086,15192100,15194060"
D616070162,3408381
CX47347959,15088053
216077527,14791928
316079909,14436753
CX47348541,"15230124,15231095"
A716070318/17830638,15026907
216072249,2955079
216072149,3401856
2316071249,"130453,15156126,3180205"
216075827,"11220587,135251,1698791,3399386"
216076197,"2890068,3300443,3317335"
306071654,15330978
316073522,134573
306070703,14850892
306071730,"14109601,1479796,2078852,3247267"
W016074893,129592
CX47346847,49046
D616070681,3369091
216074836,2835068
5416070100,15288975
216070923,"3216656,3386786"
306071385,3338823
6I01600672,15409976
6A01600504,15461985
216078125,"129783,3395656"
216071483,"11161587,138043,138455,3301633"
W016078457,3204325
616070764,1120
316078181,"14990877,15084091"
W016074375,14787357
216073096,14719167
W016078870,"14752903,3185274"
CX47348610,"14322735,3241218"
2316070264,70450
216071001,"1360788,148744,14914913,150158,3005089,3190548,3201502,3301633,3328049,3339004,3390900,3396763,3399650,3420352,3423518,3704615,3782764,3806842,6946587,9374592"
216070177,126575
316073351,3368985
