216074178,"134,915,891,420,867,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
316073365,"152,849,783,328,873"
316078308,14696161
316078445,124447
B516070503/14899760,150017
216076732,14208681
W016073414,133711
W016075316,2207949
CX47347747,3459604
216076821,70447
216072525,"15,000,288,274"
216076230,"14,972,249,046"
316072794,88411
306071743,14934236
306070978,"148,528,733,005,090"
316074503,14767916
CX48010424,6942588
316076053,14703682
CX47347816,3014074
1616070504,15554042
316073118,3310728
306071369,"1,493,203,515,494,000"
216072126,3602588
306070069,14839061
6A01600475,14929876
316074952,"33,106,943,386,936"
216071054,148741
CX47347926,"14,665,754,318,017,500,000,000,000,000"
316078216,3180625
W016072555,3404650
W016078289,3201288
O516070642,14270842
216074454,14723250
316073045,3327165
CX47346258,14989859
316075933,"1,501,678,415,102,160"
W016078249,3843316
5416070071,14782210
316075618,"146,730,736,329,587"
316074134,14787000
2316072012,"307,110,142,216,048,000,000,000"
2316071005,"145,797,251,472,494,000,000,000,000,000,000,000,000,000,000"
W016076271,15140151
2316070195,3417453
216072137,3326933
316074826,150467
W016078929,142715
316071086,14813146
316073270,"153,311,189,761,587"
CX48010427,14995864
6871600837,"147,822,151,479,024,000,000,000"
6I01600658,14845991
CX48011726,"147,895,251,666,787,000,000,000,000,000,000,000"
D616070605,14511860
1616071357/88761719,15522976
W016070168,"24,430,233,250,297"
616070542,"143,747,231,467,298,000,000,000"
216072539,15238006
316079367,"336,797,487,794"
CX48010344,"122,512,322,332,193,000,000,000"
CX47346420,6816591
306070238,"12,279,112,308,612,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
316078908,138550
216072391,"149,610,401,496,194,000,000,000,000,000,000,000,000"
306070540,10094587
216073538,3420403
W016073443,3084118
W016070754,126116
W016070916,757485
CX48010256,14739869
316077919,9853589
CX47347955,70509
316073892,134112
616070085,"22,890,153,338,267"
216075457,3423909
616070343,3182177
216070339,"110,625,883,204,325"
1616070026,"1,467,186,014,675,950,000,000,000,000,000,000,000,000"
6B01600358,14845991
216070579,3239599
W016077476,134710
316070351,15408989
CX47346735,14951867
306070812,3421408
2316072079,3313274
W016076363,14976945
CX47348332,14752325
316078438,128845
216070769,"122,221,122,712,125,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
316073843,70334
W016077497,"31,973,063,244,773"
W016078037,2208221
O516070144,3401856
216070833,15490986
216074934,15220039
216071298,3298544
1616070579/88761218,15274998
1616071376/88761735,"14,921,004,150,469,400,000,000,000,000,000,000,000,000,000,000,000,000,000"
E216070000,1616795
316072916,15206978
CX47345790,148653
W016072404,1047629
316075964,12358589
216076969,"13,418,597,140,365,800,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
616070471,3029075
A716070642,15582989
5416070172,15336248
316075990,15137041
1616070413/79213963,"1,520,103,515,352,010"
6871600824,15306063
1616070904/88761443,"149,210,041,545,214,000,000,000"
316078461,"1,295,681,323,779"
216076735,273
316076013,12619592
D616070487,14512051
W016070952,"134731,134857,134906,135122,135177,135251,135493,135494,135503,135505,135547,135563,135883,136211,13997589,14160592,1696,1697,1699,1707,1750,1755,183078,1931785,2072854,2206760,3205732,3217384,3249411,3249491,3309031,3310681,3312684,3326167,3328646,3328649,3334237,3334252,3335070,3335077,3335897,3403907,70128,70298,70448,70509,87118,8712587,87949,87951,88411,88447,88475,88477,88518,88622,88623,88675"
P516070103,15280990
W016070532,"115,695,871,301,771"
3416070166,15288972
316079626,"1,440,772,915,208,030"
316070100,"13,834,590,143,148"
CX48010524,2897070
6891601011,"1,486,610,415,648,010"
6811600237,"1,486,991,215,288,970"
1616070109/79213716,14866031
W016073955,5139587
CX48010651,3176404
6G01600140,14782215
W016073109,"1,349,541,353,841,350,000,000,000,000,000,000,000,000,000,000"
W016071096,14968980
316077269,3332806
2316071253,3335757
6G01600122,"151,660,021,519,205,000,000,000"
6891600999,15278977
216074917,"121,295,871,414,958,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
216072476,88477
O516070032,1985
W016075067,"13,476,913,485,613,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2316071850,14301735
6871600823,"1,530,606,315,307,080,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
CX48012032,15046027
CX47348416,149337
216071904,15116972
316078465,145115
O516070644,14992857
216076899,135520
316077462,14713798
2316071069,3244771
316075382,"147,231,811,491,589,000,000,000,000,000"
CX47347758,13250654
316071413,"1,289,293,166,089"
216076604,14768938
W016074208,15033863
316070602,3783025
CX47348363,3296784
1616071648/88764190,15455982
316079078,"143,630,143,641"
W016073498,136193
O516070639,15575964
5416070181,15288975
316074832,141774
W016070395,3430758
2316072018,3772202
2316071470,15005903
616070653,"10,001,005,101,010,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
6861600350,15306063
6891600909,14735852
216074867,"1,110,641,364,701,370,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
W016073050,3312686
W016071653,3397556
316071360,9926587
306071706,3369879
CX47346202,4264841
W016072629,14952886
CX47347743,14566098
CX47346370,"1,481,696,133,079,130,000,000,000,000,000,000,000,000,000"
CX47347152,14598784
CX47346240,"14,967,488,063"
316076000,"202,078,532,081,333,000,000"
W016070354,151016
216076920,88445
6841600879,"1,527,898,015,345,110"
316070987,"100,134,741"
316075388,151079
W016071659,3434915
O516070613,125977
O516070822,126824
316073011,14841318
CX47346787,14750891
W016074575,117594
CX47345963,135344
316072660,3420397
216072183,1707
316072891,"140,881,143,148"
316076416,"38,074,288,929,650"
O516070831,3393054
316071374,15194972
W016078372,14926862
216074335,15017113
CX47346351,6358587
216077874,"1,362,813,216,409,320,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1916070053,"1,473,105,714,909,890"
216077337,3431083
216071390,3402174
W016073914,4809587
W016071899,3216846
A716070234/17830782,3397274
316070047,143573
2316070925,"11,527,341,265,701,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
W016070813,135589
W016070449,230964
2316070421,"1,417,643,806,827"
2316070640,3187192
306071286,14462723
216074013,87945
CX47345686,14566711
316072194,6064587
316070489,3382806
316077970,"142,992,143,697,423,000,000"
W016077951,4257621
CX47347350,1707
216070928,14774894
216072016,"1,001,754,324,919,230,000,000,000,000,000"
2316071390,3304326
316076769,"1,518,901,715,220,030"
P516070075,14782210
A716070248/17830834,"108,575,871,256,058,000,000,000,000,000"
CX47348468,3321335
316072953,129976
CX47348063,1695
216074453,133563
306072006,15071180
306071117,14972986
2316072099,"146,457,381,485,692,000,000,000,000,000,000,000,000,000,000,000,000"
6B01600330,"1,510,597,315,278,980"
6E01600460,"1,479,024,814,988,890"
CX48011966,3337359
CX47345432,14361751
316071236,15253094
CX47346739,127291
216077293,3338184
216075466,15202045
W016078462,3204325
A716070287/10930467,15192059
316077209,12560591
A716070238/17661830,3191398
306071982,3387711
CX47345812,4231589
2316071301,"157,578,627,950,913,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
6831600783,15401986
616070965,"1,221,122,512,361,230,000,000,000"
W016079031,"146,990,242,965,068"
W016073499,70977
316072988,"1,203,358,714,320,720,000,000,000,000"
216075983,14564373
D616070296,"2,207,996,220,800,120,000,000,000,000"
CX47346855,15388082
316075277,"148,349,201,499,322,000,000,000"
316073809,"15,016,233,248,101,600,000,000,000,000,000,000"
W016078531,15348989
W016075514,"32,183,783,302,908"
216073537,"1,348,661,350,511,360,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
3416070137,"1,528,897,515,288,970"
W016077866,"13,915,922,520,103,400,000"
6A01600490,14790248
316071671,3424475
216073846,###############################################################################################################################################################################################################################################################
216077604,88444
CX47348581,"152,210,141,526,897,000,000,000,000,000,000,000,000"
316078357,14183597
316075770,15083918
CX47348717,15426964
CX48010664,3228655
CX47346857,4231589
6F01600227,"1,541,900,815,423,960"
B516070570,"122,571,126,724,169,000,000"
216077307,"1,351,593,334,116,330,000,000,000"
O516070013,2886079
O516070820,725475
O516070080,2886079
W016076782,15159067
CX48010261,3298507
CX47348043,3433048
216075956,3416561
316079337,938
1616070166,15471068
2316070429,4169605
CX47346267,9941593
1616070876/88761422,15201033
216072548,4536587
W016070522,3391473
O516070437,3201471
616070527,3374580
CX48010586,15017116
W016075649,"13,344,932,967,393,300,000,000,000"
316079388,"13,462,814,703,651,100,000,000,000,000,000,000"
316076224,"1,471,061,437,806,120,000,000"
216073332,"2,872,079,287,906,830,000,000,000,000"
K516070075,15317984
CX47348652,"14,062,614,978,121,100,000,000,000"
O516070713,14533729
316071292,15071058
216076036,15290974
P516070057,15189014
D616070128,"153,320,233,306,455"
W016073677,2208849
CX47347572,15085069
W016075945,3185258
O516070418,2207341
CX47346131,133617
6B01600356,15549964
316074772,"1,524,241,415,247,000"
306070296,9046593
W016071082,130138
W016071405,149068
CX47348301,3368987
O516070532,1312779
216078095,3403229
W016077945,2494023
W016075939,14838967
W016075863,"30,841,183,201,484,300,000,000,000,000,000,000"
W016068156,3306717
316070760,14888871
6F01600260,15461984
216074064,"146,779,001,480,094,000,000,000,000,000,000,000,000,000,000,000,000"
O516070407,3300607
W016077467,2208944
316071499,15615002
216071150,88224
K516070001,15383972
306071405,"3,321,335,794,601"
W016070022,"13,884,234,186,413,400,000"
W016075205,3395737
W016075342,15064984
216073114,"11,425,587,321,665,100,000,000,000,000"
6E01600492,14962884
316079915,"14,797,166,149,671,900,000,000,000,000,000"
CX47347702,14564153
W016077293,"38,693,994,190,588"
1616070484,15570050
216078064,"142,086,823,365,652"
CX47345201,3277873
CX47346955,14269717
W016071973,"22,082,303,307,223"
O516070632,14942025
W016070038,139010
O516070248,3302929
6831600843,15002147
6831600744,15494032
K516070135,15189014
316072195,"1,498,893,315,032,000"
216072402,"134,857,315,907,031,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
216073407,149950
316076353,15373071
W016070712,10569587
2316070144,"33,795,073,380,262"
6B01600310,14790248
316075133,"148,359,553,321,335"
A716070495/17830515,14562745
W016072530,3250518
W016076577,564382
CX48011911,14500802
1916070128,15157064
D616070354,"220,581,722,079,423,000,000"
216076723,3338184
306070205,3166116
306072112,"1,351,269,862,587"
316073766,"134,915,891,420,870,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
216072620,228559
216074036,70436
306070664,14762160
216075054,14952215
316074699,14565299
W016073010,141227
6831600876,15336110
316077456,11606595
316077604,15298977
B516070149/01838860,2205447
316074583,"1,150,058,714,930,060"
CX47345943,5422593
6891600972,14845991
K516070230,15058972
316071323,14698916
W016073687,"1,289,272,649,022"
W016075328,3656589
A716070602,"137,501,150,105,150,000,000,000,000,000"
CX47347095,3345208
316079964,3390278
2316071637,"138,565,142,588,143,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2316070667,14407726
2316071716,135739
6A01600532,15306063
216077139,"146,177,251,500,612,000,000,000"
306071031,14988996
216072666,"133,449,133,775"
O516070597,3249505
316078970,179052
316077207,7122588
6E01600487,"1,478,735,014,811,860"
216078082,15253094
316079399,"13,647,013,845,514,800,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
B516070398,"138,925,902,205,853"
CX47347114,"1,531,811,615,406,980"
W016070299,1986
216074165,"115057,115079,122621,122622,122624,122631,122684,122689,122791,122836,122983,122991,123103,123110,123150,123154,123155,123157,123159,123160,123164,123213,123222,123262,123264,123272,125077,125250,125307,125422,125491,1307777,134859,135250,135251,135391,135494,135505,135507,135515,136122,136146,136171,14058589,14325739,1433798,14365765,14463756,14583728,14704446,14713061,14713069,14910873,151684,15251973,161064,1698791,1744,1754,232057,2399021,2512017,2551017,2552015,2562016,2573017,2946076,2956076,2958070,3181344,3219396,3220365,3221946,3223014,3223713,3224816,3241258,3241849,3243302,3245350,3246553,3248157,3249475,3250328,3298096,3298637,3310087,3313274,3316309,3321500,3328612,3328618,3328620,3332871,3334112,3338996,3344669,3383629,3391296,3391794,3392516,3392575,3394605,3396557,3397628,3397665,3397670,3397671,3397717,3397781,3397783,3397786,3397790,3402323,4221610,4497604,5152587,70234,70271,70274,70448,70509,7583594,8620598,88520,88622,88623,88676,88907,88908,991655"
2316071260,15015860
CX48011909,"32,074,643,239,507"
316072836,"14,424,727,150,521,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
216077589,"1,495,995,433,353,120,000,000"
316072247,"134,732,134,739,135,000"
216075720,3602588
CX48011754,2208227
216077793,14934994
316077732,"14,291,717,145,557,800,000,000,000,000,000"
316079129,3307913
W016072232,3328450
216071371,3296284
316079369,88870
316070255,88479
316072345,"31,803,853,244,775"
O516070564,3328645
W016074469,3216761
216070660,"14,873,988,061"
W016072212,133006
CX48010217,3228655
